country;continent;year;lifeExp;pop;gdpPercap
Lithuania;FSU;1996;70.14;3668316;81826892659999900
Saudi Arabia;Asia;1957;42.868;4419650;81575912480000000
Romania;Europe;1972;69.21;20662648;80114144019999900
Latvia;FSU;1979;68.87;2514167;80007585629999900
Iceland;Europe;1950;71.01;142938;77502915349999900
Ecuador;Americas;1997;72.312;11911819;74294558769999900
Taiwan;Asia;1982;72.16;18501390;74263547739999900
Panama;Americas;2002;74.712;2990875;73560319340000000
Jamaica;Americas;2007;72.567;2780132;73208802620000000
France;Europe;1953;67.34;42751746;71712443189999900
Latvia;FSU;1975;69.28;2461606;70500274260000000
Taiwan;Asia;1980;71.54;17848320;69950317829999900
Czech Republic;Europe;1954;68.05;9290617;69792186900000000
Argentina;Americas;1957;64.399;19610538;68568562120000000
Bulgaria;Europe;1973;71.34;8620997;68223852689999900
Trinidad and Tobago;Americas;1972;65.9;975199;66195514189999900
Georgia;;1982;69.638;5101213;63598298810000000
Jamaica;Americas;1967;67.51;1861096;61247034509999900
Cuba;Americas;1957;62.325;6640752;60921743590000000
Ukraine;FSU;2006;67.96;46710816;60395131299999900
Dominican Republic;Americas;2007;72.235;9319622;60253747520000000
Greece;Europe;1962;69.51;8448233;60171907329999900
Iran;Asia;1967;52.469;26538000;59067318049999900
Angola;Africa;1972;37.928;5894858;54732880049999900
Hungary;Europe;1954;65.43;9706000;54318555700000000
Spain;Europe;1961;69.66;30903894;51491290549999900
Chile;Americas;1982;70.565;11487112;50956657380000000
Mozambique;Africa;1957;33.779;7038035;49558683330000000
Turkmenistan;Asia;2007;63.169;5136262;48892498369999900
Micronesia  Fed. Sts.;;1982;65.328;82188;47458253909999900
Mozambique;Africa;1997;46.344;16603334;47234607710000000
Zimbabwe;Africa;2007;43.487;12311143;46970929810000000
Hong Kong  China;;1962;67.65;3305200;46926482719999900
Burundi;Africa;1967;43.548;3330989;41297751360000000
Burundi;Africa;1957;40.533;2667518;37956462810000000
Timor-Leste;Asia;1997;54.379;918738;37563416520000000
Tunisia;Africa;1982;64.048;6734098;35602331740000000
Micronesia  Fed. Sts.;;1972;62.599;60427;34951762670000000
Nicaragua;Americas;1982;59.298;2979423;34703381560000000
Australia;;2007;81.235;20434176;34435367439999900
Grenada;;1977;65.035;94280;34395627090000000
Switzerland;Europe;2000;79.99;7266920;34386902480000000
